Date of Notice|Business Type|region|company|Number Affected|Layoff Date|Reason for Dislocation|Classification
4/17/2020|Theater|New York City Region|The Ribbon Worldwide 44 LLC|159|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/16/2020|Wholesale Distribution|Long Island Region|Omega Research and Development Technology, LLC|1|4/6/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/15/2020|Travel and Tourism|New York City Region|NYC & Company, Inc.|77|4/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/16/2020|Clothing Retail|Western Region|Zara USA|22|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/16/2020|Clothing Retail|Capital Region|Zara USA|22|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Consulting Group|New York City Region|American Management Association International (NYC)|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Consulting Group|North Country Region|American Management Association International (Saranac Lake)|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Restaurant|New York - New York City Region|Del Frisco's Grille of New York LLC dba Del Frisco's Grille|101|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Restaurant|New York - New York City Region|Morton's of Chicago/Fifth Ave. dba Morton's|69|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Auto Dealership|Long Island Region|Stoler of Westbury dba Westbury Toyota|81|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/7/2020|Auto Dealership|Long Island Region|ADI of NY LLC|10|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/7/2020|Auto Dealership|Long Island Region|Eagle Auto Mall Corp.|25|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/7/2020|Auto Dealership|Long Island Region|Eagle Auto Mall Sales, Inc. dba Eagle Chevrolet|30|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Communication, Public Relations|Mid-Hudson Region|ICR, Inc.|50|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/14/2020|Solar Energy Equipment|Long Island Region|SUNation Solar Systems, Inc.|128|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Restaurant|Farmingdale - Long Island Region|Houlihan's Farmingdale, LLC dba Houlihan's|85|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Restaurant|New York (Tribeca) - New York City Region|Palm New York Downtown LLC dba The Palm|126|4/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Restaurant|West NY - New York City Region|Palm West Corporation dba The Palm|78|4/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/14/2020|Media Company|New York City Region|Fortune Media|27|4/30/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
3/17/2020|Restaurant|Long Island Region|Bella Coppia, LLC dba Nick & Toni's Restaurant|24|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Sheet Metal Contractor|Long Island Region|J.M. Haley, Corporation|44|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/20/2020|Executive Events Company|New York City Region|The Argyle Group LLC|24|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Retail clothing store|Southern Tier Region|Abercrombie & Fitch, abercrombie kids, Hollister Co., and Gilly Hicks|37|Furloughs for part-time employees will begin on 3/28/2020. Furloughs for full-time employees will begin on 4/12/2020.|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/10/2020|Retail clothing store|Mohawk Valley Region|Abercrombie & Fitch, abercrombie kids, Hollister Co., and Gilly Hicks|26|Furloughs for part-time employees will begin on 3/28/2020. Furloughs for full-time employees will begin on 4/12/2020.|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Manufacturer|Western Region|The Goodyear Tire & Rubber Company|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/24/2020|Hotel|New York City Region|Soho House New York, LLC|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Hotel|New York City Region|Soho House New York, Inc.|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
